symptom,cnt
cognitive and perceptual distortions,258
facial acne,258
mouth appearance,257
impaired recent memory,255
exhaustion,254
female assertion that that she does not want to grow breasts or menstruate,254
fascination with fire,253
someone controls body,252
other parasomnia symptoms,251
anxiety about- being in places where escape is impossible,250
loss of bowel or bladder control,249
exposure to alcohol and/or drugs in home environment,248
Child unsafe in home/school/neighborhood,248
Break and Entering,246
severe anorexia,245
Often bored,244
rambling thoughts,244
OK mood,244
insight good,244
"Markedly diminished pleasure or interest in all, or almost all, activities more days than not i.      Examples: initiation of play and interaction with caregivers",243
fear and anxiety/ avoidance- of heights,242
significant distress or interpersonal difficulties,242
occupational problem/s,241
addicted,241
childlike silliness,241
eyebrows appearance,238
rejection of male stereotype,238
unwilling to recognize others feelings,238
Perpetrator of Abuse,237
does not meet criteria for panic,237
other physical abuse of an adult,236
catatonic posture,236
normal speech,236
ejaculatory dysfunction,235
self-loathing,235
nose appearance,234
hypnopompic hallucinations,234
exposure,234
Inadequate discipline,233
"cerebellar symptoms (impaired coordination, ataxia)",233
Concussion with  LOC > 24 hours,232
confusion about identity,232
Compulsiveness and perfectionism,231
tactile hallucinations of bugs crawling,231
Aggression in response to sensory stimuli,231
going over things in mind other than check/counting,229
avolition,229
hair-pulling,229
apathy,228
"Exhibits arrested development, regression, or loss of previously achieved developmental milestones",228
memory intact,227
genital appearance,227
relationship problems,227
evidence that the etiology is due to the persisting effects of other or unknown substance,227
judgment mildly impaired,227
Runaway,226
lonely,226
can't sleep,225
Maternal Alcohol Abuse,224
engaged in forgery,224
hallucinations auditory,223
lack of exercise,223
fear and anxiety/avoidance- other,223
helpless/uncomfortable when alone,222
abuse of elderly parent,222
Uninsured,222
inability to recall personal information of ones past,221
difficulty recognizing objects or people (agnosia),221
anxiety about test taking,221
shifting career plans,220
repeated eating behaviors,219
enduring deviation of affective lability,218
lack of social reciprocity,218
infidelity,217
HIV exposure,217
Refuses others' attempts to provide comfort,217
Insufficient mechanisms for dealing with stress,217
self-destructive,216
postpartum onset,215
command hallucinations,215
"Diminished ability to think or concentrate or indecisiveness. OR Difficulty in solving problems, responding to caregivers ,sustaining attention.",215
excessive list making,215
multiple vocal tics,215
other identity problem/s,215
Disruption of family by separation,215
Inadequate health care for client and family,214
discord with physician,214
Insomnia OR Hypersomnia.,214
difficulty repeating phrases,214
Concussion with  LOC < 24 hours,213
fearful,212
Incest,212
intense urges involving sexual activity with prepubescent child,212
reduced ability for relationships,212
tired of living,212
pattern of inflexibility,211
Fatigue or loss of energy.,211
Custody conflicts/visitation,211
tremor pill rolling,211
"need to tell, ask, or confess",210
voyeurism,210
shoulder's appearance,209
intense urges involving observing inspecting person disrobing or engaging in sexual activities,208
Head Injuries,208
oculogyric crisis,207
hoarding,207
Costly medications,207
someone controls actions,206
often inappropriately climbs,206
Excessive startle reactions in response to sensory stimuli,206
stealing is not for monetary gain or vengeance,205
intense arousal involving sexual activity with prepubescent child,205
reactive,204
repeatedly collecting things,204
scar's appearance,203
concern about sticky substances or residues,203
restless,203
Some evidence of mild antisocial or narcissistic behavior,202
decline in previous functioning,202
insomnia disturbance symptoms sufficiently severe to warrant clinical attention,202
auditory hallucinations of single voice male,202
calm,202
exposure to trauma- murder,201
humiliation,201
Mild Adjustment Problems,201
evasive attitude,200
inter-caretaker discord,200
excessive concern with environmental contaminants,200
conversion,199
anxiety/ avoidance of- test taking,198
anxiety about- traveling in an automobile,198
concerns or disgust bodily waste or secretions,198
normal mood,197
aphonia,197
absence of addiction services,197
Subdurmal Hematoma,197
misinterpretation of events as having unusual meaning for the person,196
olfactory hallucinations of other smells,196
recent ingestion of cocaine,196
Separation Anxiety,196
discord with sibling/s,195
irregular menses,195
unkempt,195
clinging behavior,194
fear cued by specific situation or object,193
decrease in goal directed activity,192
MSLT show average sleep latency of less than 5 minutes,192
impaired cognition,192
sleep disorder,192
contemptuous attitude,192
caretaker lack of interest in child,191
general anxiety disorder symptoms,191
acquired speechlessness,191
Unknown If Family Problems,190
impaired concentration,190
sub-average intellectual functioning,189
pervasive pattern of detachment from social relationships,189
Feels isolated from valued communities,189
clinging behavior and fear of separation,187
Poor grades,187
blinking or staring,186
catatonic excitement,186
other repeated checking,186
exposure to trauma- other,186
No suicidal ideation,185
fear and anxiety/avoidance- of heights,185
Not aware of community leisure activities,185
unwilling to recognize others needs,185
anxiety about traveling in automobiles,185
Deaf,184
"Persistent reluctance or refusal to go to child care, school or elsewhere out of fear of separation.",184
No grossly disorganized behavior,184
"fear of loosing control, or going crazy",184
caretaker divorce/separation,184
cocaine use,183
emotional disturbance,183
anxiety/ avoidance of- interacting with strangers,183
head appearance,182
"No mania, period of persistantly elevated or irritable mood",182
severe muscle rigidity,181
Job dissatisfaction,181
Lack of job opportunity,179
Perpetrator of Bullying,179
Unknown If Occupational Problems,178
forgets names of objects (anomia),178
stated age,178
fantasies of power,178
abuse of laxatives,177
Abuse of Drugs/Alcohol,177
overconfident,177
inadequate healthcare services,177
Heart Failure Unspecified,176
No hallucinations,176
Parent unable to work because of child's needs,175
Unknown If Relationship Problems,174
No delusions,174
abnormal vocal pitch,173
suicidal gestures,173
wrinkles appearance,173
forget names of people,172
"fascination, curiosity, attraction to fire and it situational context",172
thought blocking,172
abnormal tone,171
uncomfortable because of exaggerated fears,171
Threat of incarceration,170
Hearing impaired,170
reduction in social activities,170
male assertion that it would be better not to have penis,170
Re-entry Court,170
wired,169
Adjustment to life-cycle transition,168
"difficulty with showering, bathing",168
compliant,168
Evidence of feelings of worthlessness or inappropriate guilt in play or direct expression.,168
other psychological symptoms affecting medical condition,168
OWI,167
esophagitis,167
Acute physical illness,167
Behavioral problems,167
short term memory deficits,166
hallucinations visual,166
Feels others do not accept or value customs or values of importance to patient,166
shifting goals,166
pervasive distrust and suspiciousness of others,166
"deficits in two areas of functioning (self-care, social, academics)",166
feet's appearance,165
no anxiety about being in places where escape is impossible,165
below average intelligence,164
undue influence of body weight or shape  on self-evaluation,164
Ganser Syndrome (giving of approximate answers),164
avoid prosecution,163
frustrating,163
suicide attempt- by gunshot,163
substance related disorders,162
decreased ability to shower/bathe,161
congestive heart failure,161
Crying in response to sensory stimuli,160
thought withdrawal,160
Problems with leaving parental control,160
"Significant weight loss OR weight gain,  Significant decrease in appetite OR increase in appetite OR Failure to make expected weight gains.",160
Lack of supervision,159
anxiety about traveling in planes,159
Unknown If Housing Problems,159
abnormal spasms of muscles limb,158
intense urges involving nonliving objects,158
History of out of home placements,158
well groomed,157
child or adolescent antisocial behavior,157
Excessive fearfulness,157
inadequate transportation,156
violent or horrible images,156
controlling,155
medical condition,155
Intermittently connected,155
Threat of job loss,155
Impulsivity when overloaded by sensory stimuli,155
exposure to an STD,153
difficulty coping with new tasks,153
impaired social conduct,153
difficulty uniting words to form a sentence,153
Enduring deviation of inner experience and behavior,153
stop looking for a job,152
fine tremor during attempts to maintain posture,152
No maladaptive pattern of substance use,152
other thoughts,152
Psychomotor agitation that is observable by others. OR Psychomotor retardation that is observable by others/,152
Difficulties with motor planning,152
Occupational Problems,152
Sexually Dissatisfied,151
No computer access,151
repeated regurgitation and rechewing of food,151
"Recurrent allusions to or themes of death or suicide though thoughts, activities, play or behaviors. OR Attempts at self-harm though activities, play or behaviors.",150
partner relationship problem,149
persistent failure to eat,149
lability,148
re-reading or re-writing something until right,148
sleep disruption leading to insomnia,148
Avoidance or slow engagement in new experiences or sensations,148
No excessive anxiety and worry,147
impaired attention,147
guilty feelings,147
"no fear of objects, or social situations",147
anxiety about traveling in buses,146
other maladaptive behaviors affect medical condition,146
loud speech,145
intrusive non-violent images,144
two or more identities/personalities,143
pervasive pattern of wanting to be taken care of,142
"pain head, face, mouth",142
avoidance of/distress from- being outside the home alone,142
Difficulty in fine motor coordination    i.      Note: Often associated with play and experience with toys and other objects that have been limited by the child's hypersensitivity.,142
"No recurrent thoughts, impulses or images",142
difficulties with Mathematics,141
Multiple placements,141
perfectionism,141
Parent in prison/jail,141
No repetitive behaviors,140
skips school,140
health problems,140
attention intact,138
grandiose behavior,138
deceleration of previously normal head growth,138
violent thoughts no intent,138
dramatic,137
preoccupation continues despite medical evaluation,137
Unknown If Environmental Problems,137
Maternal Substance Abuse,136
Repeated complaints or expression of physical symptoms when separation from major attachment figures occurs or is anticipated.,136
lack of developmentally appropriate peer relationships,136
heart failure,136
No exposure to trauma,136
intact reality testing,135
emptiness,135
caffeine,135
focal neurological signs,135
Renal Failure,134
perseverates,134
ran away,134
sexual intercourse pain,134
Loss of Independence,133
non-supportive environment,132
intense behaviors involving observing inspecting person disrobing or engaging in sexual activities,132
No re-experience of trauma,132
Physically aggressive behavior,131
"hair-pulling, perirectal region",131
big headed,130
IQ Level 50-55 to approximately 70,130
superficial,130
superior,130
belligerence,128
"intense urges involving being humiliated beaten, bound, or made to suffer",128
judgment age appropriate,128
uncertain about group loyalties,128
Difficulty adapting to changes in routines or plans,128
pervasive psycho-social stressors,127
tics occurring many times per day,127
elevated blood pressure or lowered blood pressure,127
regretful,127
Difficulty recovering from frustration or disappointment,127
tired,126
excitement,126
No history of traumatic brain injury,126
litigation,126
fear of blurting out obscenities or insults,126
inflexible,125
History of arrest,124
frightened affect,124
assumption of new identity,124
anxiety/ avoidance of- conversing on the telephone,124
criminal,124
intense behaviors involving touching and rubbing against a non-consenting person,124
overeating,123
No panic attacks (discrete period of intense fear),123
stopped hobbies,123
"intense arousal involving being humiliated beaten, bound, or made to suffer",123
cocaine,123
receptive problems (child),123
intense desire involving touching and rubbing against a non-consenting person,123
lack of emotional reciprocity,123
Intermittent organization of behavior; mixed pattern of sensory reactivity,122
caretaker lacks skills,121
anxiety about bridges,121
risk factors for HIV,121
good eye contact,121
coma,120
decrease relationship with co-workers,120
anticipatory anxiety- worry about health,120
word salad,120
seasonal,120
lips appearance,120
intense urges involving touching and rubbing against a non-consenting person,120
"Pancreatitis, Chronic",119
fantasies of unlimited success,119
dsythymia,119
No severe disturbance in eating behavior,119
Quit job,119
dsythymia symptoms,118
without auditory/visual hallucinations,118
anxiety/ avoidance of- making eye contact,118
avoids/inhibited in new relationships,118
confused,117
"forbidden/perverse sexual thoughts, images, impulses",117
anxiety/ avoidance of- expressing disagreement/ disapproval,117
olfactory hallucinations of burning smell,117
behavioral Problems,117
No risk factors for HIV,116
avoidance of activities for fear of rejection,116
No unexplained physical symptoms,116
compensatory behavior to prevent weight gain,116
"Disability of senses (seeing, hearing, etc.)",116
cooperative attitude,116
violation,116
odd/inappropriate social interaction,116
threatening hallucinations,115
uneasy,115
Discord with social worker,115
healthy,115
concern with sacrilege or blasphemy,115
morphine,114
periodic limb movements,114
Adult Antisocial Behavior,114
unusual mannerism,114
right lower quadrant pain,114
stereotyped amphetamine behavior,113
questioning of faith,113
good organizational skills,113
"intense desire involving being humiliated beaten, bound, or made to suffer",113
IQ normal,113
delay/absence of orgasm,113
autonomic disturbance (urinary retention),112
non-pressured speech,112
No memory impairment,112
persistent reluctance or refusal to sleep away from home,112
bizarre,111
difficulty initiating or sequencing activities,111
tearful,111
feelings of sexual inadequacy,111
repeated changes of caretaker,111
medical treatment sought,111
weariness,110
bradykinesia,110
important actively are given up because of substance use,110
Distractibility by sensory stimuli,110
deficit in sexual arousal,110
Hepatitis,110
orderliness,110
fidgets with hands/feet,109
arrogant,109
effusive,108
rampant drug us at work,108
other sexual abuse,108
headache,108
presents of agoraphobia,108
gamble to relieve dysphoria,108
forget faces of people,107
excessive facial hair,107
anxiety about returning items to a store,107
difficult to control worry,107
difficulty following commands,107
inter-caretaker violence,107
self-contemptuous,107
distracted,107
hand's appearance,106
dysomnia other,106
open attitude,106
feelings of emptiness and loneliness,106
slow speech,105
difficulty working with others,105
anxiety/ avoidance of- urinating in public bathroom,105
tardive dyskinesia,105
avoidance of/distress from- other,104
Truancy,104
expansive,104
MSLT two or more naps during five-nap MSLT,104
digressive/vague speech,104
Mental health problems of family member,103
fear of doing something else embarrassing,103
ill at ease,103
Dropped Out of School/Training,103
age appropriate judgment,103
anxiety about- traveling in a bus,103
affective blunting,103
forget directions,103
other psychiatric symptoms affecting relationship,102
avoidance of/ distress from- other,102
Inadequate supervision of children,102
bold,102
dependent behavior,102
avoidance of/distress from- traveling in a plane,102
symptoms by proxy,101
fear of separation,101
Unknown If Academic Problems,101
rapid onset of symptoms,100
rigid posture,100
respiratory depression,100
jaw's appearance,100
conversion to a new faith,100
phase of life problem,100
difficulty copying/drawing,99
insight absent,99
intense desire involving nonliving objects,99
Parent where abouts unknown,99
"avoidance of activities for fear of criticism, disapproval or rejection",99
defensive,99
Responds minimally to comfort offered to alleviate distress.,99
dysphoria,99
preoccupied with criticism or rejection,99
dogmatic,98
abnormal loudness,98
self-condemnation,98
localized weakness,98
grooming,98
employer not supportive or recovery efforts,98
"withdrawal (sweating, rapid pulse, etc.)",97
Pervasive pyscho-social stressors,97
auditory hallucinations of isolated name being called,97
social developmental delays,97
Adequate access to healthcare,97
male assertion that penis or testes are disgusting,96
other concerns about contamination,96
sexual aversion symptoms,96
attentive,96
avoidance of/distress from- traveling in a bus,96
aloof,96
twice a week for 3 months,95
pleasant attitude,95
avoidance of activities for fear of criticism,95
needs to be in control,95
intense behaviors involving nonliving objects,95
impaired remote memory,95
loses items,95
anorgasmia,94
persistent recurrent gambling behavior,94
Uncertain about group loyalty,94
intense arousal involving nonliving objects,94
Alcoholic Gastritis,94
sensitive to sounds,93
inconsistent discipline from caretakers,93
excessive concern with animals or insects,92
No Enduring deviation of inner experience and behavior,92
verbally monotone,92
cognition concentration poor,92
hypersensitive,91
impaired motor coordination,91
Sexual orientation problems,91
pica,90
recurrent excessive distress when separation from home/attachment figures occurs,90
repeated thoughts about needing to hoard things,90
Inability to pay for medications,90
difficulty delegating tasks,90
futile affect,89
avoidance of/ distress from- being outside the home alone,89
Unhappy with career choice,89
uncertain about moral choice,89
Accident proneness without clumsiness,88
Lack of family planning,88
Fearfulness in response to sensory stimuli,88
The child fails to gain adequate weight or may even lose weight.,88
impaired use of gestures in social interaction,87
poor self-confidence,87
dementia,87
hostile attitude,87
toileting problems,86
sexual arousal symptoms,86
stopped looking for a job,85
shift work,85
Non-family members in the home,85
dysnomia,85
superstitious fears,85
mutism,84
halting speech,84
heartburn,84
Inadequate study habits,84
Intermittent aloofiness,84
laxative abuse,84
Unknown If Developmental Problems,84
frightened mood,83
illogical thought process,83
poor/inappropriate social mannerisms,83
nausea/vomiting,83
Relational Problem Related to a Mental Disorder or General Medical Cond.,83
threaten or actual hitting if surprised,83
argue,83
evidence that etiology is due to the persisting effects of amphetamine,83
Discord with boss or coworkers,83
excessive menstrual bleeding,82
avoidance of activities for fear of disapproval,82
euphoric,82
cogwheeling,81
cannabis,81
without delusions,81
Emotionally disturbed,81
dissociative disorder,81
evidence that alcohol is the etiology of disturbance,81
loss of energy,81
increased appetite or weight gain,81
inability to recall previous information,81
not oriented to place,80
evidence that the etiology is due to alcohol withdrawal,80
assertive,80
Social Developmental Delays,79
Pain Location low back,78
decreased interest,78
impaired use of facial expression in social interaction,78
Problems with literacy,78
Consistent intermittent intentional gestures,77
fantasies of beauty,77
sleep terror- intense fear on awakening,77
long-term memory impairment,77
fear of saying certain things,77
personality traits affect medical condition,77
gained weight,77
Parent Child Problem,75
lupus like,75
anxiety/ avoidance of- other performance situations,75
can't remember dreams,75
"intrusive nonsense sounds, words, or music",75
visual hallucinations unspecified,75
Less exploration than expected for age,74
oriented,74
view self as personally unappealing,74
mentally healthy,74
Stressful work schedule,74
Recent loss in family,74
hungry,74
poor organizational skills,74
repeated complaints of physical symptoms on separation,73
emotional,73
pupillary constriction,73
evidence that opioid is the etiology of disturbance,73
conjunctival injection,73
Lack of psychologist,73
impaired immediate memory,72
Ischemia Chronic,72
hoard,72
Unsafe neighborhood,72
evidence that etiology is due to the persisting effects of opioid,72
Suicide of Spouse,72
checking to make sure a part of the body is working,72
increase in tendon reflexes,72
Huntington's chorea,72
Distress when routines change,71
hearing his/her name,71
No anhedonia/reduced interest,71
Poor personal hygiene,71
difficulty making decisions,70
zoophilia,70
anxiety about heights,70
egotistical,69
inability to recall personal information,69
diuretic abuse,69
Unknown If Financial Stressors,68
oxycodone,68
eating disorder,68
professional thief,68
Failing to use available resources-libraries/community centers,67
loss of touch/pain sensations,67
not oriented to purpose,67
male aversion of rough and tumble play,67
Medical concerns for family member,67
Lack of legal representation,66
stupor,66
generalized rashes,66
sleep disorder symptoms,66
Repeated nightmares involving the theme of separation.,66
pleasureful,65
other ways to prevent or remove contact with germs,65
self-effacing,65
impaired serial 3's,65
psychomotor normal,65
narcissistic,65
stuttering speech,65
mindless,65
not oriented to time,65
catatonic negativism,65
Unknown If Legal Problems,64
other compensatory behavior to prevent weight gain,64
fire setting is not for monetary gain or vengeance,64
involuntary rhythmic movement of jaw,64
clouding sensorium,63
religious or spiritual problems,63
grandiose,63
retardation,63
mood congruent psychosis,63
emotional abuser,62
without hallucinations,62
below average IQ,62
defensive attitude,62
catalepsy (waxy flexibility),62
impaired ability to work,62
anxiety/ avoidance of- public speaking,62
"bullies, threatens or intimidates others",61
vague thought process,61
Care giver is overwhelmed,61
evidence that etiology is due to the persisting effects of cannabis,61
bleeding secondary to ingestion of anticoagulants,61
persistent depersonalization,61
"muscle weakness, respiratory depression, chest pain, or cardiac arrhythmias",60
Diabetes mellitus,60
hypertension or tachycardia,59
"confusion, seizures, dyskinesia, dystonias, or coma",59
lack of self,59
obstinate,59
superstitions,58
parkinson's disease,58
persistently and excessively fearful or reluctant to be without attachment figures elsewhere,58
assaultiveness,58
impaired use of body posture in social interaction,57
sluggishness,57
Sickle-Cell Trait,57
physical disability,57
anxiety about- standing in a line,57
schizophrenic symptoms,57
bladder incontinence,56
fear and anxiety/avoidance- of seeing blood,56
anxiety about urinating in public bathroom,56
fear of losing things,56
delusions--Dementia Psychiatric Signs and Symptoms,55
other occupational problems,55
Lack of after school programs,55
illegal activities,55
personality change aggressive behavior--Dementia Psychiatric Signs and Symptoms,55
Shuttling between parents,55
sexual identity disturbance,55
personality change suspiciousness--Dementia Psychiatric Signs and Symptoms,55
young-looking,55
motor deficits,55
Living alone,55
impaired short term memory--Dementia Psychiatric Signs and Symptoms,55
evidence that cocaine is the etiology of disturbance,55
"difficulty remembering days, dates, time--Dementia Psychiatric Signs and Symptoms",55
Problems with grades,54
fainting,54
Inattentiveness,54
tension before pulling hair,53
"lose things (ex: wallet, keys)",53
acting out child,53
Discord with neighbors or landlord,53
Lack of Vocational skills,53
staccato speech,53
failure to resist impulses,53
disagree,53
Lack of child care,53
"erectile, ejaculatory dysfunction",52
"often ""on the go"" /  acts as if ""driven by a motor""",52
maternal alcohol abuse,52
significant weight gain/significant weight loss,52
Fleeting satisfaction and pleasure,52
distressing experience involving faith,52
repeatedly bothered by certain sounds or noises,51
Birth of sibling,51
"Limited ability to self-soothe, Example: Difficulty returning to sleep after waking",51
Withdrawn behaviors,51
inadequate lubrication-swelling response,51
violent thoughts with plan,50
Maternal STD's,50
night agitation,50
rapid breathing,49
shared delusions,49
Expulsion/Suspension,49
behavioral change disinhibited,49
high IQ,49
malingering,49
awkward,49
subsequent development of stereotyped hand movements,49
insight,48
switch between idealizing and devaluing people,48
Freezing in response to sensory stimuli,48
Parental overprotection,48
emotional speech,48
memory 1/3 at 1',48
avoidance of/ distress from- traveling in an automobile,48
hair loss,48
other medication movement syndromes or symptoms,48
Limited sensory motor play,48
over-conscientious,48
emotionless,48
Job skills associated with psychoactive substances,48
concepts applied in unusual ways,48
Long term goals unknown,48
fear of harming others because not careful enough,48
deliberately engaged in fire setting,48
non-compliance,48
delirium is superimposed on the dementia,47
decreased sexual fantasy,47
flushed face,47
inadequate erection,47
The child eats without difficulty when offered preferred foods.,47
"The child consistently refuses to eat specific foods with specific tastes, textures, and/or smells.",47
difficulties with Reading,47
overly concrete,47
"Onset of the food refusal occurs during the introduction of a novel type of food a. Example: the child may drink one type of milk but refuse another, may eat carrots but refuse green beans, may drink milk but refuse baby food.",47
no auditory or visual hallucinations,47
discomfort with gender role,46
binge eating is in a discrete period of time < 2 hours,46
friendly attitude,46
Congestive Heart Failure,46
Gang affiliation,46
other sexual symptom,46
Excessive cautiousness,46
marked impairment,45
ruminate,45
euphoric affect,45
ideas of influence,45
"Absence or near-absence of two or more specific affects expectable given the child's age, Child has difficulty in using language or play to express emotions expectable given child's age, Notable absence of age-expectable fears, concerns or anxiety",45
impaired ability in paying bills,45
guilty affect,45
abscesses,45
recent ingestion of phencyclidine (PCP),45
Incomplete class work/homework assignments,45
Migraine Common,45
poor relationship with co-workers,45
fear and anxiety/avoidance- of animals,45
attempts at discipline characterized by pattern of escalating angry exchanges,45
Drug related crimes,45
extra-pyramidal symptoms,45
social detachment,44
questioning of spiritual values,44
dyspareunia causes significant distress or interpersonal difficulty,44
echolalia,44
suspects world is against him,44
promiscuous,43
mean,43
inattentive thought process,43
reluctance or refusal to go any place for fear of separation,43
Other Birth Complications,43
No depressed mood,43
eccentric behaviors,42
Reading achievement as measured by standardized test is substantially below age/IQ expectations,42
normal ADL's,42
religious,42
difficult,42
other stereotyped and repetitive motor mannerisms,42
purposeless motor activity,42
dysphasia,42
Traumatic brain injury,42
phobia,42
emphatic,41
other religious concerns,41
other side effects,41
LBP,41
abnormal spasms of muscles trunk,41
sexual dysfunction,41
decreased interest  or participation in activities,41
anxiety about traveling in trains,41
personality traits affect medial condition,41
doing things to prevent harming yourself,41
vicodine,40
perfectionism interferes with the ability to complete tasks,40
impaired ability to drive,40
massive hemoptysis,40
History of conviction,40
hypoarousal causes significant distress or interpersonal difficulty,40
persistent aversion/avoidance of sexual contact--Sexual Dysfunctions Signs and Symptoms,40
avoidance of/distress from- traveling in an automobile,40
delirium symptoms,40
other NMS symptoms,40
pregnancy symptoms,39
bizarre postures,39
do not meet criteria for panic,39
muscle twitching,39
irritable when trying to control or stop gambling,39
"disorientation time, place or person",39
crack,39
careless,39
demerol,39
roxicodone,39
single vocal tic,39
lortab,39
bothersome,39
preference for cross dressing,39
stopped exercising,38
enema,38
lack of developmentally-appropriate social imitative play,38
job skills associated with psychoactive substances,38
insensitive,38
Language use (single words to simple sentences),38
gratification or relief when witnessing aftermath fire,38
misinterpretations,38
avoidant behavior,38
checking that you did not/will not harm others,38
Intermittent simple intentional gestures,38
hostile affect,38
Evident pleasure in interactions,38
assured,38
rigidity and stubbornness,37
sexual indifference,37
Absence of high school diploma (GED),37
decreased respiration,37
anxiety about ordering food in a restaurant,37
Hypoparathyroidism,37
incoherent speech,37
candid,37
cleaning,37
gender dysphoria,37
makes careless mistakes in other activities,36
makes careless mistakes in schoolwork,36
enduring patterns of behavior,36
other physical abuse of a child,36
gas,36
self-righteous,36
bitterness,36
speech regular rate and volume,36
good judgment,36
Limited treatment facilities,36
verbose,36
anxiety about seeing blood,36
rude,36
thoughts about sexual behavior toward others,35
preoccupied with details,35
No longer lives in community of origin,35
Visually impaired,35
intense urges to expose one's self,35
fear and anxiety/avoidance- of flying,35
parental overprotection,35
deceitful,35
apathetic,35
absence of an orgasm causes significant distress or interpersonal difficulty,35
oriented to person,35
excessive involvement in activities,35
Sickle-cell anemia,35
Language barrier,35
oriented to situation,35
fantasies involving sadism,35
above average intelligence,34
normal intelligence,34
"failure to speak in certain specific situations, but normal communication in others",34
bullies,34
Language barriers,34
Difficulties with postural control and tone,34
behavior involving sadism,34
tics occurring intermittently,34
thoughts about colors with special meaning,33
intense desire to expose one's self,33
thoughts about needing to know or remember,33
doing things to prevent harming others,33
amphetamine use,33
superstitious behaviors,33
preference for playmates of other sex,33
conflict,33
caretaker fails to allow developmentally-appropriate level of independence to child,33
unwilling to identify with others needs,33
Few consistent simple intentional gestures,33
catatonic stupor,33
No Suicidal Ideation,33
abnormal movements interferes with normal activities,33
logical directed,33
hand/finger shaking,32
hot flashes,32
evidence that the etiology is due to inhalant intoxication,32
bickering,32
poor control about worrying,32
Written achievement as measured by standardized test is substantially below age/IQ expectations,32
whispered speech,32
Unprotected sex,32
THC,32
dystonic,32
annoying,32
acute akathisia not associated with neuroleptic,32
Learning disability,32
sexual aversion causes significant distress or interpersonal difficulty,31
sexual thoughts about children or incest,31
ingratiating attitude,31
difficulty learning new material,31
sensorium clouded,31
lonely mood,31
hyper-vigilance,31
poor planning ability,31
drug Related Crimes,31
often defies requests/rules,31
unconstrained,30
bowel incontinence,30
impotence,30
view self as inferior to others,30
B12 deficiency,30
twitches,29
constipation and overflow incontinence,29
Childhood Illnesses,29
percocet,29
Terminal illness,29
abnormal speech volume,29
Tuning out from conversation,29
caretaker inability to control child,29
tooth-brushing,29
perceptual symptoms,29
Lack of treatment services,29
impaired ability to cook,28
violent thoughts no plan,28
rape,28
disturbance in normal fluency and time pattern of speech,28
motor mannerisms,28
unable to discard objects,28
tension headache,28
non-rapid speech,28
somatoform disorder,28
IQ Level 35-40 to 50-55,28
stereotyped cocaine behavior,27
insight intact,27
unstable,27
preoccupied with fear of being alone,27
depressed mood--Depression Psychiatric Signs and Symptoms,27
belief in telepathy,27
belief in sixth sense,26
other withdrawal symptoms,26
initiates physical fights,26
Hallucinations,26
normal cognition,26
other sexual thoughts,26
Discord with non-family caregivers,26
inability to learn new information,26
checking that you did not/will not harm yourself,26
vomiting throughout pregnancy,26
intellectually slow,26
Discord with counselor,26
Frequent organization of behavior; beginnings of integration,26
has an accent,26
violent/homicidal plan,25
does not listen when spoken to directly,25
extreme aversion and avoidance of genital sexual contact with a partner,25
fetishism,25
persistent aversion/avoidance of sexual contact,25
avoidance of/distress from- being on bridges,25
Meets PTSD Criteria,25
feelings of emptiness,25
Stopped Hobbies,25
tense posture,25
child with disability,25
intentional production of symptoms,25
HIV Exposure,25
anxiety/ avoidance of- eating in front of others,25
fear of confiding information,25
insecure,25
binges more than twice per week,24
gambling seen as a necessity,24
premature ejaculation,24
mathematical difficulties in excess of those usually associated with sensory deficit,24
Esophagitis,24
preoccupation with stereotyped and restricted patterns of interest,24
sensation of slowed time,24
executive function intact,24
crystal,24
avoidance of/ distress from- traveling in a bus,24
slowed down,24
shirking,24
Parental multiple partners,24
childlike,23
empty mood,23
"confusion, seizures, dyskinesias, dystonias, or coma",23
discrimination,23
distress on cues to event,23
Difficulties with reading,23
ill-at-ease,23
normal mental status exam,23
no anhedonia/reduced interest,23
unspecified hallucinations,23
echopraxia,22
avoidance of/distress from- standing in a line,22
difficulty sustaining attention in tasks,22
shy,22
communication problems (child),22
"fear is marked, persistent and excessive",22
gustatory hallucinations unspecified,22
impaired orgasm,22
impairment in memory,22
problems associated with conversion,22
poverty of speech,21
Lack of communication between home and school,21
dementia symptoms,21
lack of developmentally-appropriate make-believe play,21
"sadism, sexual",21
sense of for shorted future,21
intense behaviors to expose one's self,21
anxiety about flying,21
perspiration or chills,21
circumlocutions to avoid problematic words,21
stated desire to be other sex,21
fear/avoidance of abandonment--Personality Disorder Cluster B Signs and Symptoms,20
suicidal ideation--Depression Psychiatric Signs and Symptoms,20
histrionics behavior,20
oriented to place,20
ataxia,20
fear of confiding fears information will be used against them--Personality Disorder Cluster A Signs,20
pulls out owns hair,20
deceitful (lying to others)--Personality Disorder Cluster B Signs and Symptoms,20
Sickle-Cell Anemia,20
poor relationship with spouse--Dissociative Disorders Signs and Symptoms  (psychological),20
auditory hallucinations unspecified--Thought Disorders Psychiatric Signs and Symptoms,20
does not follow through on instructions,20
dreamless,20
derealization--Thought Disorders Psychiatric Signs and Symptoms,20
weight loss/decreases appetite,20
"restricted, repetitive and stereotyped behaviors, interests, and activities",20
female assertion that she will grow a penis,20
unkempt/inappropriate clothing,20
Limited support from parole officer,20
stereotyped  behavior,20
Lack of psychiatrists,19
cold,19
poor coordination,19
view self as socially inept,19
Delusions,19
thought process logical directed,19
deafness,19
