symptom,cnt,cluster
confusion  seizures  dyskinesias  dystonias  or coma,23,104
other identity problem s,215,104
confusion  seizures  dyskinesia  dystonias  or coma,59,104
confusion about identity,232,104
assumption of new identity,124,104
discomfort with gender role,46,104
identity disturbance of self image sexual identity,49981,104
other gender identity symptoms,662,104
psychological factors interfere with the treatment of a medical condition,618,104
without delusions,81,105
auditory hallucinations of isolated name being called,97,105
persistently and excessively fearful or reluctant to be without attachment figures elsewhere,58,105
accident proneness without clumsiness,88,105
other or unspecified factor affecting medical condition,2,105
no auditory or visual hallucinations,47,105
without hallucinations,62,105
auditory hallucinations of single voice male,202,105
assaultiveness,58,105
without auditory visual hallucinations,118,105
difficulty with interpersonal intimacy,12,106
absence of high school diploma  ged ,37,106
difficulty swallowing,17,106
difficulty using objects comb  knife etc ,19,106
absence of an orgasm causes significant distress or interpersonal difficulty,35,106
difficulty sustaining attention in tasks,22,106
difficulty learning new material,31,106
absence or near absence of two or more specific affects expectable given the child s age  child has difficulty in using language or play to express emotions expectable given child s age  notable absence of age expectable fears  concerns or anxiety,45,106
difficulty with acculturation,9,106
difficulty living at home,7,106
caretaker lack of interest in child,191,107
pervasive pattern of detachment from social relationships,189,107
pervasive pattern of wanting to be taken care of,142,107
caretaker divorce separation,184,107
lack of job opportunity,179,107
lack of social reciprocity,218,107
pervasive psycho social stressors,127,107
in infants  lack of responsivity to sensations and social overtures,436,107
caretaker lacks skills,121,107
pervasive distrust and suspiciousness of others,166,107
pervasive pattern of social and interpersonal deficits,268,107
lack of supervision,159,107
lack of developmentally appropriate peer relationships,136,107
non compliance secondary to religious beliefs,8,108
non spontaneous speech,8,108
discord with boss or coworkers,688,108
non functional routines,10,108
dysnomia,85,108
non compliance,48,108
non family members in the home,85,108
discord with non family caregivers,1004,108
non rapid speech,28,108
discord with neighbors or landlord,897,108
rabbit mouth,914,109
increased hand tremor,47366,109
parkinsonian tremor,3326,109
hand washing,595,109
tremor resting,3396,109
mouth tremor,1585,109
tremor in limbs,1252,109
tremor s,314,109
tremor pill rolling,211,109
tremors,66946,109
hand tremor,7097,109
difficulty playing quietly,2,110
poor concentration  generalized anxiety signs and symptoms,2,110
poor sequencing ability,1,110
difficulty sustaining attention in play activities,3,110
difficulty initiating or sequencing activities  dementia behavioral signs and symptoms,1,110
poor grades,2,110
difficulty falling or staying asleep  generalized anxiety signs and symptoms,6,110
poor concentration  depression psychiatric signs and symptoms,1,110
poor judgment  mania psychiatric signs and symptoms,1,110
difficulty disagreeing with others,5,110
fear and anxiety avoidance  of seeing blood,56,111
fear of losing things,56,111
avoidance of activities for fear of rejection,116,111
fear of blurting out obscenities or insults,126,111
no fear of objects  or social situations,147,111
fear of saying certain things,77,111
fear of loosing control  or going crazy,184,111
fear and anxiety avoidance  of heights,185,111
avoidance of activities for fear of disapproval,82,111
fear of harming others because not careful enough,48,111
fear of separation,101,111
fear of doing something else embarrassing,103,111
avoidance of activities for fear of criticism,95,111
stated age,1,112
judgment moderately impaired,266,112
less exploration than expected for age,74,112
age related cognitive decline,2,112
good planning ability,3,112
fear of being responsible for terrible things happening,590,112
good eye contact,8,112
fear cued by specific social situation or object,704,112
judgment severely impaired,338,112
impaired use of eye to eye gaze in social interaction,358,112
social anxiety with paranoid fears,674,112
judgment mildly impaired,227,112
impaired ability to of counting objects,311,112
insight good,3,112
age appropriate judgment,103,112
judgment age appropriate,128,112
good judgment,36,112
preoccupied with details,35,113
fear of loosing control,10691,113
reluctance or refusal to go to school for fear of separation,10177,113
preoccupied with details  lists  rules  order,5989,113
preoccupied with gambling,3652,113
fear of gaining weight or becoming fat,15253,113
preoccupied with criticism or rejection,99,113
preoccupied with fear of being left to care for themselves,10001,113
preoccupied with being criticized or rejected,6161,113
freezing in response to sensory stimuli,48,114
attempts at discipline characterized by pattern of escalating angry exchanges,45,114
motoric agitation in response to sensory stimuli,290,114
search for specific sensory input i       examples  repetitive sensory activities such as swinging or jumping up and down on a bed,13,114
angry outbursts including tantrums in response to sensory stimuli,352,114
sensory loss  lack of pain sensation or touch sensation  ,1199,114
underreactivity to sensory stimuli,449,114
crying in response to sensory stimuli,160,114
distractibility by sensory stimuli,110,114
aggression in response to sensory stimuli,231,114
overreactivity to sensory stimuli,499,114
attempted escape in response to sensory stimuli,317,114
perseverations,317,114
fearfulness in response to sensory stimuli,88,114
excessive exercise,1061,115
excessive concern with household items,322,115
excessive spending,880,115
recognizes obsession or compulsion are excessive,1701,115
excessive list making,215,115
excessive motor activity,1784,115
excessive concern with general appearance,392,115
excessive concern with a part of the body,347,115
avoid conscription,11,116
avoid stimuli about trauma  people,953,116
avoid work,538,116
avoid stimuli about trauma  conversation,1,116
trauma involved threatened death or bodily harm,1217,116
avoid stimuli about trauma  places,554,116
avoid prosecution,163,116
avoid stimuli about trauma  conversations,627,116
avoid stimuli about trauma  feelings,808,116
avoid obligations,524,116
avoid stimuli about trauma  other,598,116
bowel incontinence,30,117
constipation and overflow incontinence,29,117
bowel or bladder continence,1,117
bladder incontinence,56,117
encopresis without constipation and overflow incontinence,2148,117
incontinence,1,117
without amenorrhea or amenorrhea for     cycles,1291,117
without aud vis hallucinations,328,117
with constipation and overflow incontinence,2328,117
bowel   bladder training,16,117
repeated thoughts about needing to save things,301,118
other repeated checking,186,118
repeated regurgitation and rechewing of food,151,118
repeated failure to honor financial obligations,506,118
repeated awakenings with panicky scream  predominantly in first third of sleep ,1465,118
other repeated action or ritual,287,118
repeated eating behaviors,219,118
repeated dressing to be or insistence that they are the opposite sex,376,118
sexual symptoms,561,119
other sexual abuse of an adult,573,119
other sexual abuse of a child,5908,119
other sexual problems,14469,119
sexual assault,6577,119
forced someone into sexual activity,12036,119
no sexual problems,2549,119
sexual coercion,11918,119
sexual assaultive,5971,119
sexual abuser,6741,119
sexual abuse,9869,119
sexual excess,521,119
sexual abuse of a child,36145,119
purposeless motor activity,42,120
pervasive pyscho social stressors,97,120
impaired social conduct,153,120
hypervigilant in social situations,322,120
motor mannerisms,28,120
motor deficits,55,120
social anxiety with negative evaluation,620,120
odd beliefs,1,120
reduction in social activities,170,120
deficits in two areas of functioning  self care  social  academics ,166,120
odd inappropriate social interaction,116,120
renal failure,134,121
congestive heart failure,46,121
failure  even in unfamiliar settings  to check back with adult caregivers after venturing away ,274,121
perseverates,134,121
heart failure,136,121
failure to speak in certain specific situations  but normal communication in others,34,121
failure to resist impulses,53,121
heart failure unspecified,176,121
congestive heart failure,161,121
discord with non family caregivers,26,122
discord with neighbors or landlord,53,122
discord with boss or coworkers,83,122
discord with partner spouse,18,122
discord with counselor,557,122
inter caretaker discord,200,122
discord with counselor,26,122
discord with physician,7,122
discord with teachers or classmates,588,122
discord with sibling s,195,122
discord with physician,214,122
discord with social worker,599,122
appropriate affect,340,123
tearful affect,1303,123
fearful,212,123
euphoric affect,45,123
constricted affect,1080,123
appropriate affect,2,123
flat affect,14545,123
anxious affect,773,123
futile affect,89,123
fearful affect,481,123
blunted affect,819,123
frightened affect,124,123
tearful,111,123
restricted range of affect,360257,123
physical abuse,10511,124
victim of crime,1045,124
victim of bullying,685,124
other abuse,1187,124
physical complaints,10143,124
abuse,3483,124
victim of abuse,3690,124
physical fights,5424,124
abuse of drugs and alcohol,17006,124
allegations of abuse,1496,124
drug abuse,27520,124
difficulty planning,667,125
difficulty using community resources,776,125
difficulty breathing,5373,125
difficulty understanding types of words,1372,125
difficulty remembering days  dates  time,948,125
difficulty concentrating,2075,125
difficulty concentrating ,2852,125
difficulty acquiring new words,1096,125
difficulty with sleep ,5916,125
difficulty understanding sentences,2902,125
difficulty with interpersonal intimacy  fear of being shamed,5534,125
difficulty understanding words,2731,125
difficulty initiating or maintaining sleep,5735,125
difficulty with complex behavior,797,125
living with an active addict,1010,126
death or loss of friend,4829,126
family believes in treatment,57097,126
mh sa of family member,17496,126
other thoughts,152,126
health problems in family,5445,126
unsupportive family,9078,126
family history of substance abuse,63058,126
unsupportive friends,4048,126
death or loss of family member,9824,126
death suicide of family member,2932,126
death of a family member,18691,126
living with an active addict,4484,126
death or loss of family member,5242,126
living with family members,7456,126
thoughts of death,11749,126
mh sa problems w spouse,5799,126
single vocal tic,39,127
custody conflicts visitation,211,127
stressful work schedule,74,127
single parent family,409,127
parent in prison jail,141,127
shift work,85,127
conflicts over extended family,606,127
parent unable to work because of child s needs,175,127
ability to work,5,127
incomplete class work homework assignments,45,127
sudden unexpected travel away from home or place of work,6,127
does not complete class work homework assignments,6,127
work schedule childcare conflicts,430,127
no legal guardian identified,12,128
medico legal context for presentation,263,128
current legal involvement,8,128
no legal issues,1820,128
no legal problems,3093,128
legal problems of family members,4116,128
legal,2333,128
repeated sleep walking  predominantly in first third of sleep ,823,129
depressed or irritable mood most of the day  more days than not,452,129
falls asleep during the day,298,129
no depressed mood,43,129
tics occurring intermittently,34,129
tics,2,129
day time sleep episodes,806,129
tics occurring many times per day,127,129
other repeated behaviors,509,129
repeated awakenings predominantly in second half of sleep  with recall of frightening dreams,1349,129
repeated lying for profit pleasure,1069,129
other body part s appearance,1261,130
body rocking,374,130
someone controls body,252,130
undue influence of body weight or shape on self evaluation,10830,130
rocking from foot to foot,2693,130
someone controls actions,206,130
body image distortion,17465,130
fentanyl,1,131
percocet,29,131
morphine,114,131
recent ingestion of sedative  hypnotic  or anxiolytic,751,131
lortab,39,131
barbiturates,2,131
roxicodone,39,131
amphetamine,1068,131
oxycodone,68,131
demerol,39,131
codeine,1,131
difficulties with reading,8030,132
other receptive difficulties,974,132
difficulties with mathematics,5491,132
monosyllabic whole word repetitions  e g  i i i i see him ,672,132
difficulties with speech,7011,132
word recall difficulties,1867,132
word finding difficulties,3320,132
word salad,120,132
no family problems,2043,133
disruption of family by separation,1729,133
disruption of family by estrangement,1,133
disruption of family by estrangement,1681,133
disruption of family by divorce,2016,133
disruption of family by separation,215,133
violence towards family members,1818,133
disruption of family by divorce,473,133
unsupportive family,1901,133
muscle ache,38426,134
muscle pain,1410,134
tension around or before act,378,134
muscle rigidity,401,134
muscle tension,219087,134
tension,1888,134
muscle tension ,502,134
severe muscle rigidity,181,134
continue aod use despite physical problems,79361,135
traumatic experience,35055,135
traumatic symptoms,429,135
no traumatic problems,3117,135
aod use interferes with social  occupational or recreational activites,79361,135
chooses solitary experience,5647,135
traumatic brain injury,330,135
hides aod use,79313,135
traumatic brain injury,42,135
experience aod use consequences,79313,135
guarded attitude,754,136
defensive attitude,62,136
uncooperative attitude,6,136
ingratiating attitude,31,136
friendly attitude,46,136
hostile,7,136
open attitude,106,136
bad attitude,7,136
pleasant attitude,95,136
evasive,17,136
evasive attitude,200,136
cooperative attitude,8,136
cooperative attitude,116,136
hostile attitude,87,136
hostile affect,38,136
contemptuous attitude,192,136
apathetic attitude,7,136
impaired ability to conceptualize mathematical operations,5507,137
poor judgment,8010,137
impaired occupational functioning,7653,137
impaired ability to spell,6299,137
impaired social functioning,17163,137
impaired ability to learn new material,7391,137
impaired penmanship,4921,137
poor anger control,10666,137
impaired memory or impaired ability to learn new material,16823,137
poor impaired judgment,12365,137
other impaired behavior,11330,137
whispered speech,32,138
rapid pulse,3588,138
delay in or absence of spoken language development,24616,138
slow rate of language development,4043,138
speech regular rate and volume,36,138
intellectually slow,26,138
intellectually sharp,18,138
rapid speech,8280,138
accelerated heart rate,18102,138
slow speech,105,138
poverty of speech,21,138
flashbacks,30240,139
other flashbacks,503,139
recurrent substance use in hazardous situation,200702,139
nightmares,52540,139
re experiencing trauma  flashbacks ,1507,139
no details of dreams and amnestic for episode,624,139
re experiencing of event  flashbacks ,394761,139
recurrent dreams nightmares reliving trauma  flashbacks,458957,139
recurrent distressing event recollection,428033,139
recurrent substance use relating to legal problems,289787,139
recurrent intrusive impulses  thoughts  or images,131763,139
the child refuses all oral feedings,2,140
significant loss of adaptive behavior skills,2,140
the child shows significant growth deficiency ,10,140
financial neglect of a child,8,140
the infant or young child resists intensely when a caregiver approaches with a bottle or food ,1,140
the infant or young child shows intense resistance to swallowing food placed in her mouth ,2,140
significant loss of social skills,4,140
high risk sexual behavior,1,140
the infant or young child does not communicate hunger and lacks interest in food but shows strong interest in exploration  interaction with caregiver  or both ,6,140
onset of the food refusal occurs before the child is   years old ,6,140
the infant or young child refused to eat adequate amounts of food for at least   month ,6,140
caretaker physical abuse,5,141
intrusive thoughts hyper vigilance,2,141
initiates physical fights,26,141
aphonia  somatic physical signs and symptoms,2,141
the child eats without difficulty when offered preferred foods ,47,141
the child consistently refuses to eat specific foods with specific tastes  textures  and or smells ,47,141
caretaker inability to control child,29,141
harsh punitive caretaker discipline,3,141
insufficient physical activity,4,141
communication problems  child ,22,141
onset of the food refusal occurs during the introduction of a novel type of food a  example  the child may drink one type of milk but refuse another  may eat carrots but refuse green beans  may drink milk but refuse baby food ,47,141
intense urges involving psychological or physical suffering of the victim is sexually exciting,6,141
self inflicted bodily injury resulting from motor mannerisms,1,141
other physical abuse of a child,36,141
caretaker fails to allow developmentally appropriate level of independence to child,33,141
intense urges involving cross dressing,4,141
intentional production of false physical or psychological symptoms,1,141
numbing detachment,2993,142
sense of for shorted future,21,142
reduced sense of awareness,433,142
sense of numbing  detachment or absence of emotional response,7260,142
grandiose sense of self importance,7238,142
belief in clairvoyance,4,142
emotional coldness  detachment  flattened affect,5854,142
detachment from others,435660,142
belief in sixth sense,26,142
numbing  detachment,5,142
occupational dissatisfaction,865,143
occupational,872,143
academic,344,143
no occupational problems,1503,143
occupational problem s,241,143
academic stressors,2,143
academic problems,1650,143
on parole,407,144
on parole,6667,144
on parole probation,1153,144
parole juvenile probation,5601,144
parole,18412,144
parole,59891,144
probation,133436,144
shortened sentences,2003,144
spinal pain of lumbar sacral,413,145
pain in the pelvic region,555,145
lower back pain,525,145
local pain syndromes of upper limbs,490,145
back pain  cervical ,506,145
urinary pain,304,145
piloerection,734,145
rectal pain,463,145
genital pain during sexual intercourse,735,145
pain in the anal  perianal  genital region,574,145
deficits in health,56948,146
deficits in work,106608,146
deficits in functional academic skills,122302,146
deficits in communication,105466,146
internal motivation for wellness,142235,146
pervasive pattern interpersonal deficits  reduced capacity for relationships  perceptual distortions and odd behavior,40250,146
deficits in home living,101132,146
deficits in self direction,122258,146
deficits in safety,93017,146
deficits in leisure,74884,146
deficits in adl s,8614,146
deficits in self care,117195,146
external motivation for wellness,128928,146
deficits in use of community resources,94480,146
deficits in hygiene,5092,146
external motivation,2071,146
inconsistent discipline from caretakers,93,147
caretakers with severe medical developmental and mental health issues,279,147
spouses health,5,147
other health impaired,476,147
mental health problems of family member,103,147
health problems,140,147
unknown if health problems,394,147
avoids tasks requiring sustained mental effort,1,147
decrease academic performance,1741,148
inability to find work,9257,148
decrease ability to work,3168,148
looking for work,5179,148
stop looking for a job,1807,148
stressful work schedule,1351,148
old looking,18,148
work or academic inhibition,15780,148
decrease in concentration,2486,148
young looking,55,148
decrease in goal directed activity,192,148
decrease ability to pay bills,2298,148
stressful hostile work environment,2492,148
inability to maintain employment,8356,148
limited sensory motor play,48,149
persistent aversion avoidance of sexual contact  sexual dysfunctions signs and symptoms,40,149
limited treatment facilities,36,149
limited ability to self soothe  example  difficulty returning to sleep after waking,51,149
limited english proficiency,2,149
limited support from parole officer,20,149
limited range of ideas and fantasies in everyday behavior or imaginative play,13,149
persistent failure to eat,149,149
limited or no access to computers,17,149
hiv aids,614351,150
hypertension,3756,150
hypothyroidism,1026,150
alzheimer s disease,1,150
parkinson s disease,1,150
lupus like,75,150
sickle cell anemia,35,150
parkinson s disease,58,150
osteoporosis,1020,150
dementia,87,150
anemia  unspecified,717851,150
hiv infection,375,150
tuberculosis,613667,150
alcoholic dementia,314,150
alcoholic gastritis,285,150
laboratory or imaging evidence of cerebrovascular disease,1011,150
childhood illnesses,29,150
delirium is superimposed on the dementia,47,150
alcoholic gastritis,94,150
sickle cell anemia,20,150
addison s disease,8,150
blindness,400,150
anemia,2835,150
problems with leaving parental control,767,151
problems with literacy,757,151
problems associated with retirement,370,151
problems with teachers administrators,435,151
cultural problems between generation of immigrate,402,151
problems associated marriage,715,151
relational problems nos,342,151
other acculturation problems,748,151
mild degree of interpersonal problems,787,151
problems with starting a new career,1018,151
mild adjustment problems,201,151
fire setting,1,152
fire setting is not for monetary gain or vengeance,64,152
deliberately engaged in fire setting,48,152
deliberately destroyed other s property  other than by fire setting ,35713,152
deliberately engaged in fire setting with intention of causing serious damage,15225,152
deliberately destroyed other s property,1,152
labile blood pressure,6,153
elevated blood pressure or lowered blood pressure,127,153
no maladaptive pattern of substance use,152,153
pressure to use substance by other,1362,153
other maladaptive behaviors affect medical condition,146,153
seeking stimulation through deep pressure,444,153
elevate blood pressure,3,153
maladaptive pattern of other substance use,300,153
increase in tendon reflexes,72,154
increase in goal directed activity,50864,154
decreased in adl s,21121,154
decreased interest or participation in activities,342618,154
decreased heart rate,2137,154
decreased energy,19973,154
decreased need for sleep,429444,154
decreased hygiene,1346,154
increase in goal directed activity,257876,154
decreased libido,11793,154
decreased ability to do work,2817,154
increase amount of time in aod activities,79284,154
decreased functioning,110152,154
decreased appetite,23747,154
high activity levels,534,154
abnormal movements interferes with normal activities,33,155
abnormal spasms of muscles limb,158,155
abnormal tone,171,155
abnormal spasms of muscles neck,291,155
abnormal speech volume,29,155
abnormal vocal pitch,173,155
abnormal spasms of muscles trunk,41,155
abnormal loudness,98,155
personality change apathy,2117,156
personality change affective lability,8512,156
personality change suspiciousness,8399,156
personality change depressed,2174,156
personality traits affect medical condition,77,156
personality changes,1518,156
personality change anxious,2326,156
personality change marked apathy and indifference,9526,156
personality disorder,618,156
personality change irritable,2877,156
evidence that etiology is due to the persisting effects of alcohol,383,157
evidence that cannabis is the etiology of disturbance,389,157
weight less than     of ibw,352,157
frotteurism,12,157
significant weight loss or weight gain   significant decrease in appetite or increase in appetite or failure to make expected weight gains ,160,157
deficit or hypoactive sexual desire or fantasy,792,157
undue influence of body weight or shape  on self evaluation,164,157
hypoactive,12,157
hypoactive sexual desire causes significant distress or interpersonal difficulty,1208,157
weight less than     of ibw,297,157
gained weight,77,157
no evidence of notable interpersonal problems,373,157
uncertain about moral choice,89,158
uncertain about career choice,956,158
uncertain about group loyalty,94,158
uncertain about group loyality,2,158
uncertain about career choice,17,158
uncertain about sexual orientation,62435,158
uncertain about group loyalties,128,158
uncertain about sexual orientation,14870,158
excessive fearfulness,157,159
no excessive anxiety and worry,147,159
excessive menstrual bleeding,82,159
excessive involvement in activities,35,159
excessive fears or worries or both,19,159
excessive cautiousness,46,159
excessive concern with environmental contaminants,200,159
excessive concern with animals or insects,92,159
excessive facial hair,107,159
client is likely to continue to use,84468,160
recieving opiod replacement therapy,79284,160
patient has tried to quit,11512,160
client mandated to have treatment,820944,160
client has tried to quit by themself,111631,160
client with a history of relapse,920945,160
recognizes treatment need,392322,160
client is likely to relapse,66517,160
client currently under the influence,8576,160
client believes in treatment,82630,160
client believes moderate use of substance is possible,47848,160
psychological symptoms affect medical condition,447,161
psychological factors associated with symptoms,4,161
owi,167,161
psychological factors influence the coarse of a medical condition,374,161
psychological factors are an additional health risk,503,161
psychological symptoms,1,161
micropsia,502,161
other psychological symptoms affecting medical condition,168,161
normal cognition,26,162
poor self confidence,87,162
poor grades,261,162
poor grades,187,162
cognition concentration poor,92,162
poor recall of trauma,379,162
poor eye contact,334,162
loss of interest  partial,19585,163
over exercise,2448,163
loss of appetite,14249,163
over exercise to prevent weight gain,3563,163
loss of interest in activities,21593,163
weight gain,4943,163
refusal to maintain body weight at normal level for weight and size,7527,163
loss of job,8610,163
weight loss,9130,163
thought insertion,494,164
thought disorder symptoms,613,164
abnormal thought processing,397,164
obsessive compulsive disorder symptoms,2415,164
bipolar,357,164
thought control,536,164
obsessive compulsive disorder,402,164
somatoform disorder,28,164
dissociative disorder symptoms,5220,164
bipolar disorder,3652,164
thought blocking,172,164
bipolar disorder symptoms,1168,164
male assertion that penis or testes are disgusting,96,165
female rejection of urinating a sitting position,18,165
male aversion of rough and tumble play,67,165
rejection of male stereotype,238,165
female assertion that she will grow a penis,20,165
female assertion that that she does not want to grow breasts or menstruate,254,165
male assertion that it would be better not to have penis,170,165
female assertion that it would be better to have penis,8,165
female aversion towards normative feminize clothing,271,165
oral reading slowness,8148,166
error in tense,784,166
oral reading distortions,5248,166
silent reading slowness,9055,166
silent reading errors in comprehension,12277,166
oral reading omissions,4984,166
other reading symptoms,10777,166
audible or blocking  filled or unfilled pauses in speech ,1381,166
audible or silent blocking,2773,166
vocabulary error,1308,166
unpredictable agitation,899,167
psychomotor normal,65,167
psychomotor agitation or retardation,724227,167
psychomotor retarded,6056,167
psychomotor agitation that is observable by others  or psychomotor retardation that is observable by others ,152,167
psychomotor agitation,13168,167
psychomotor retardation,4077,167
retardation,63,167
agitation,75800,167
night agitation,50,167
hearing impaired,170,168
learning disability,4,168
learning disability,32,168
disability of senses  seeing  hearing  etc  ,116,168
impaired concentration,190,168
impaired recent memory,255,168
impaired cognition,192,168
hearing his her name,71,168
impaired remote memory,95,168
impaired attention,147,168
sibling with psychiatric diagnosis,1287,169
other relational problems,5842,169
partner relational problem,10147,169
birth of sibling,51,169
sibling relationship problems,2914,169
other sibling relational problems,6463,169
sibling rivalry,11728,169
other birth complications,43,169
relational,2118,169
sibling relational problem,5381,169
partner infidelity,1139,169
dry skin,1928,170
skin s appearance,621,170
skin burning,2573,170
skin orifice picking,692,170
urophilia,1,170
bugs crawling on skin scalp,15,170
burning smell,1,170
absent parent not paying child support,370,171
single parent,1204,171
parental overprotection,48,171
remarriage of the parent,411,171
parent child relational problem,21614,171
parental overprotection,35,171
cries  calls  and searches for the absent caregiver,404,171
other parent child relationship problem,70497,171
parent child relationship problem,952,171
absent parent,1017,171
persistent and excessive worry about separation or losing attachment figures,12108,172
persistent non bizarre delusions with mood episodes,11971,172
marked impairment,45,172
flushed face,47,172
marked  persistent fear of an object situation,1604,172
in face of reminders of the loss  shows marked disturbance ,879,172
marked adjustment problems with symptoms,288,172
persistent reluctance or refusal to sleep without being near attachment figure,10229,172
persistent eating of nonnutritive substances,1660,172
persistent cross gender identification,683,172
persistent and excessive worry about possible harm befalling attachment figures,8959,172
ability to do clock face,3,172
cardiac arrhythmias,1003,173
hypertension or tachycardia,59,173
hypotension,2980,173
bradycardia,1286,173
tachycardia,295,173
syncope,1141,173
tachycardia or bradycardia,8,173
arrhythmia,4,173
tachycardia or arrhythmia,5,173
violent thoughts present,1593,174
violent thoughts with plan,50,174
violent or horrible images,156,174
homocidal or violent behavior,1134,174
violent thoughts no intent,138,174
violent thoughts with intent,1458,174
homocidal or violent threats,391,174
violent crimes,358,174
ideas of influence,45,174
violent,307,174
recurrent pulling out of one s own hair with noticeable hair loss,3335,175
recurrent episodes of flashbacks or dissociation  that is  reenactment of the event without any sense on the child s part as to the source of the ideas  the behavior is dissociated from the child s intentionality or sense of purpose  this symptom may also present as staring or freezing ,874,175
recurrent thoughts  impulses or images,687,175
recurrent suicidal gestures,1032,175
recurrent detachment from one s own mental processes,605,175
recurrent and intrusive recollections outside play  that is  repeated statements or questions about the event that suggest a fascination with the event or preoccupation with some aspect of the event  distress is not necessarily apparent ,1339,175
recurrent dreams nightmares reliving trauma  hallucinations,596,175
recurrent behaviors  or mental acts,1033,175
history of traumatic brain injury,1081,176
history of arrest,124,176
history of out of home placements,158,176
amnesia or history of amnesia,1022,176
no history of traumatic brain injury,126,176
amnesia,364,176
history of conviction,40,176
low self esteem  depression psychiatric signs and symptoms,4,177
affective instability  personality disorder cluster b signs and symptoms,2,177
deceitful  lying to others   personality disorder cluster b signs and symptoms,20,177
personality change suspiciousness  dementia psychiatric signs and symptoms,55,177
personality change aggressive behavior  dementia psychiatric signs and symptoms,55,177
personality traits affect medial condition,41,177
personality change irritable  dementia psychiatric signs and symptoms,1,177
other personality traits affecting the medical condition,5,177
maternal substance abuse,2,178
substance use by primary relationship,11,178
inadequate transportation,3,178
inadequate healthcare services,4,178
evidence that the etiology is due to the persisting effects of other or unknown substance,227,178
relationship problems related to a mental disorder or general medical condition,16,178
inadequate school environment,5,178
consumption of large quantities  substance use signs and symptoms,1,178
anticipatory anxiety  worry about health,120,178
other substance,9,178
relational problem related to a mental disorder or general medical cond ,83,178
unsupported by primary relationship,5,178
intact immediate memory,2,179
memory intact,1,179
intact recent memory,5,179
intact remote memory,4,179
concentration intact,4,179
intact remote memory,3,179
intact recent memory,4,179
intact immediate memory,5,179
intact digit span attention,5,179
sleeps all day,1595,180
binges twice a week for   months,368,180
day time fatigue,3331,180
sleeps too much,637,180
has been dry during day at some time,7615,180
binges more than twice per week,24,180
dry mouth,4056,180
binge eating in a discrete period of time     hours,6896,180
has been dry at night at some time,9620,180
twice a week for   months,95,180
failure to eat adequately with failure to gain weight or weight loss,45328,181
failure to fulfill obligation at school,53012,181
failure to fulfill obligation at home  school or work,171227,181
failure to fulfill obligation at home,107249,181
recurrent failure to resist aggressive impulses,36501,181
failure to develop peer relationships,104401,181
failure to fulfill obligations at work,60743,181
pleasure  gratification relief at time of theft,1169,182
pleasure  gratification relief at time of theft,5,182
relief,6,182
fleeting satisfaction and pleasure,52,182
pleasure  gratification relief when pulling hair,4352,182
use of false names for profit pleasure,1,182
gratification or relief when witnessing aftermath fire,38,182
pleasure seeker,598,182
gratification,11,182
evident pleasure in interactions,38,182
facial pain,757,183
facial acne,258,183
pain symptoms localized to lower limbs  hip and legs ,836,183
menstrual pain,597,183
pain cervical region,727,183
pain symptoms localized to head and neck,1086,183
menstrual symptoms,5,183
spinal pain of lumbar sacral and coccygeal regions,668,183
back pain  thoracic ,816,183
other parkinson symptoms,994,184
other akathisia symptoms,2262,184
negative communication,104868,184
other parasomnia symptoms,251,184
other symptoms of encopresis,3157,184
negative symptoms  affective flattening  alogia  avolition ,291988,184
other enuresis symptoms,2844,184
other communication symptoms,1223,184
a hypersensitivity to negative evaluation,7195,184
ptsd symptoms,334,184
akathisia,448,184
dsythymia symptoms,118,184
negative symptoms,13235,184
doesn t take responsibility for actions,270,185
unable to discard objects,28,185
unable to have fun,729,185
unable to discard worn out objects,2412,185
unable to take responsibility,8867,185
unable to handle finances,2984,185
unable to sit still,2204,185
unable to enjoy life,634,185
chills,6,186
perspiration,1,186
perspiration or chills,21,186
flashes of color,509,186
hot,2,186
hot flashes,32,186
chills  hot flashes,84528,186
response to traumatic event intense fear helplessness,524474,187
exposure to aod in peer environment,27635,187
emotional or behavioral symptoms in response to a stressor,1191,187
stress related physiological response affects medical condition,992,187
emotional liability,761,187
exaggerated startle response ,1173,187
exposure to a traumatic event,614118,187
uncomfortable because of exaggerated fears,171,187
insufficient mechanisms for dealing with stress,217,187
exaggerated startle response,374446,187
interpersonal stress,2,187
impaired ability to recognize mathematical symbols,3723,188
impaired paragraph organization,4191,188
social skills impaired,799,188
impaired ability to understand mathematical terms,4547,188
impaired ability to follow sequence of mathematical steps,4256,188
impaired punctuation,4285,188
impaired ability to conceptualize mathematical terms,4608,188
impaired ability to learn multiplication tables,3610,188
impaired ability to read mathematical signs,3649,188
depressed mood  depression psychiatric signs and symptoms,27,189
behavioral change disinhibited,49,189
behavioral problems,117,189
irritable mood  mania psychiatric signs and symptoms,2,189
disturbance in normal fluency and time pattern of speech,28,189
behavioral problems,1,189
behavioral problems,167,189
depressed reflexes,5,189
more talkative  mania behavioral signs and symptoms,1,189
insomnia  initial  depression psychiatric signs and symptoms,1,189
gastrointestinal disturbance,18,189
anxiety about urinating in public bathroom,56,190
anxiety about  standing in a line,57,190
anxiety about ordering food in a restaurant,37,190
avoidance of distress from  traveling in an automobile,40,190
avoidance of activities for fear of criticism  disapproval or rejection,99,190
anxiety  avoidance of  other performance situations,75,190
difficult to control anxiety  worry  apprehension about a number of events or activities  generalize,13,190
